PartitionKey,RowKey,DeviceId,DeviceId@type,EventEnqueuedUtcTime,EventEnqueuedUtcTime@type,EventProcessedUtcTime,Latency,EventProcessedUtcTime@type,Humidity,Humidity@type,IoTHub,IoTHub@type,Light,Light@type,PartitionId,PartitionId@type,Sound,Sound@type,Temperature,Temperature@type,Gas,Gas@type,,Time,average delay,max delay,min delay
MT3620,2019-06-28T02:31:15.1140000Z,MT3620,Edm.String,2019-06-28T02:31:15.114Z,Edm.DateTime,2019-06-28T02:31:15.148Z,0.034,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,435,Edm.Int64,25,Edm.Int64,355,Edm.Int64,,,,,
MT3620,2019-06-28T02:31:46.5340000Z,MT3620,Edm.String,2019-06-28T02:31:46.534Z,Edm.DateTime,2019-06-28T02:31:46.654Z,0.12,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,370,Edm.Int64,25,Edm.Int64,317,Edm.Int64,,,,,
MT3620,2019-06-28T02:32:19.7180000Z,MT3620,Edm.String,2019-06-28T02:32:19.718Z,Edm.DateTime,2019-06-28T02:32:19.824Z,0.106,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,402,Edm.Int64,25,Edm.Int64,332,Edm.Int64,,,,,
MT3620,2019-06-28T02:32:51.8100000Z,MT3620,Edm.String,2019-06-28T02:32:51.810Z,Edm.DateTime,2019-06-28T02:32:51.852Z,0.042,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,467,Edm.Int64,25,Edm.Int64,369,Edm.Int64,,,,,
MT3620,2019-06-28T02:33:23.1370000Z,MT3620,Edm.String,2019-06-28T02:33:23.137Z,Edm.DateTime,2019-06-28T02:33:23.161Z,0.024,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,377,Edm.Int64,25,Edm.Int64,318,Edm.Int64,,,,,
MT3620,2019-06-28T02:33:55.1720000Z,MT3620,Edm.String,2019-06-28T02:33:55.172Z,Edm.DateTime,2019-06-28T02:33:55.203Z,0.031,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,435,Edm.Int64,25,Edm.Int64,366,Edm.Int64,,,,,
MT3620,2019-06-28T02:34:26.4730000Z,MT3620,Edm.String,2019-06-28T02:34:26.473Z,Edm.DateTime,2019-06-28T02:34:26.504Z,0.031,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,410,Edm.Int64,25,Edm.Int64,339,Edm.Int64,,,,,
MT3620,2019-06-28T02:34:57.8120000Z,MT3620,Edm.String,2019-06-28T02:34:57.812Z,Edm.DateTime,2019-06-28T02:34:57.896Z,0.084,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,477,Edm.Int64,25,Edm.Int64,380,Edm.Int64,,,,,
MT3620,2019-06-28T02:35:29.2780000Z,MT3620,Edm.String,2019-06-28T02:35:29.278Z,Edm.DateTime,2019-06-28T02:35:29.350Z,0.072,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,394,Edm.Int64,25,Edm.Int64,341,Edm.Int64,,,,,
MT3620,2019-06-28T02:36:00.5760000Z,MT3620,Edm.String,2019-06-28T02:36:00.576Z,Edm.DateTime,2019-06-28T02:36:00.621Z,0.045,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,420,Edm.Int64,25,Edm.Int64,357,Edm.Int64,,,,,
MT3620,2019-06-28T02:36:31.8820000Z,MT3620,Edm.String,2019-06-28T02:36:31.882Z,Edm.DateTime,2019-06-28T02:36:31.914Z,0.032,Edm.DateTime,57,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,390,Edm.Int64,25,Edm.Int64,322,Edm.Int64,,,,,
MT3620,2019-06-28T02:37:03.6570000Z,MT3620,Edm.String,2019-06-28T02:37:03.657Z,Edm.DateTime,2019-06-28T02:37:03.679Z,0.022,Edm.DateTime,58,Edm.Int64,Record,Edm.String,753,Edm.Int64,0,Edm.Int64,392,Edm.Int64,25,Edm.Int64,320,Edm.Int64,,,,,
